"Course number","Course title","Registration restrictions","Units","Type","Section","Session","Time","Days","Seats","Registered","Waitlist","Instructor","Room"
"EE-540","Introduction to Quantum Electronics","","4.0 units","Lecture","30959R","048","1:00-2:50pm","Wed, Fri","25","12","0","Mercedeh Khajavikhan","GFS213"
"EE-541","A Computational Introduction to Deep Learning","","2.0 units","Lecture","31249R","048","3:00-4:50pm","Monday","30","18","0","Brandon Franzke","KDC241"
"EE-545","Robotics","","4.0 units","Lecture","30398D","048","4:00-5:50pm","Mon, Wed","60","41","0","Daniel Seita","ZHS352"
"","","","","Lab","30064R","048","4:00-5:50pm","Tuesday","60","41","0","","RTH419"
"EE-547","Applied and Cloud Computing for Electrical Engineers","P","2.0 units","Lecture","31250R","048","3:30-5:20pm","Tuesday","60","25","0","Brandon Franzke","THH114"
"","","","","Discussion","30404R","048","2:00-2:50pm","Friday","60","25","0","","DMC156"
"EE-549","Nanotechnology for Materials, Electronics, and Circuits","","4.0 units","Lecture","30955R","048","2:00-3:50pm","Tue, Thu","30","28","0","Chongwu Zhou","THH112"
"EE-550","Data Networks: Design and Analysis","P","4.0 units","Lecture","30948R","048","2:00-3:50pm","Tue, Thu","34","6","0","Michael Neely","WPHB36"
"","","","","Discussion","30949R","048","12:00-12:50pm","Monday","34","6","0","Michael Neely","DMC151"
"EE-552","Asynchronous VLSI Design","PC","4.0 units","Lecture","30702R","048","10:00-11:50am","Tue, Thu","82","33","0","Peter Beerel","OHE132"
"","","","","Discussion","30703R","048","1:00-1:50pm","Friday","82","33","0","","OHE122"
"","","","","Lecture","30700D","034","10:00-11:50am","Tue, Thu","20","2","0","Peter Beerel","DEN@Viterbi"
"","","","","Discussion","30701D","034","1:00-1:50pm","Friday","20","2","0","","DEN@Viterbi"
"EE-554","Cyber-Physical Systems: A Computing Perspective","","4.0 units","Lecture","30665R","048","8:00-9:50am","Mon, Wed","48","31","0","Paul Bogdan","LVL16"
"","","","","Discussion","30662R","048","-","","48","31","0","","TBA"
"","","","","Lab","30663R","048","9:00-10:50am","Friday","48","31","0","","THH118"
"EE-557","Computer Systems Architecture","P","4.0 units","Lecture","30820R","048","2:00-3:50pm","Tue, Thu","95","76","0","Murali Annavaram","OHE122"
"","","","","Discussion","30722R","048","3:00-3:50pm","Friday","95","76","0","","OHE122"
"","","","","Lecture","30716D","034","2:00-3:50pm","Tue, Thu","20","6","0","Murali Annavaram","DEN@Viterbi"
"","","","","Discussion","30718D","034","3:00-3:50pm","Friday","20","6","0","","DEN@Viterbi"
"EE-559","Machine Learning I: Supervised Methods","","4.0 units","Lecture","30490R","048","4:00-5:50pm","Mon, Wed","115","101","0","Keith Jenkins","OHE122"
"","","","","Lecture","30561D","034","4:00-5:50pm","Mon, Wed","20","9","0","Keith Jenkins","DEN@Viterbi"
"","","","","Discussion","30565R","048","11:00-11:50am","Friday","115","101","0","Keith Jenkins","OHE122"
